Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Notes,Top Team Scorer,Goalkeeper
uy Uruguay,3,3,0,0,5,0,+5,9,5.6,0.8,+4.8,+1.59,→ Round of 16 ,,,
ru Russia,3,2,0,1,8,4,+4,6,3.0,4.0,-0.9,-0.31,→ Round of 16 ,,,
sa Saudi Arabia,3,1,0,2,2,7,-5,3,3.1,4.2,-1.1,-0.35,,,,
eg Egypt,3,0,0,3,2,6,-4,0,2.5,5.3,-2.8,-0.93,,,,
es Spain,3,1,2,0,6,5,+1,5,6.4,3.1,+3.3,+1.11,→ Round of 16 ,,,
pt Portugal,3,1,2,0,5,4,+1,5,3.8,3.9,0.0,-0.02,→ Round of 16 ,,,
ir IR Iran,3,1,1,1,2,2,0,4,3.2,3.9,-0.7,-0.24,,,,
ma Morocco,3,0,1,2,2,4,-2,1,2.6,5.2,-2.5,-0.85,,,,
fr France,3,2,1,0,3,1,+2,7,3.6,1.6,+2.0,+0.67,→ Round of 16 ,,,
dk Denmark,3,1,2,0,2,1,+1,5,2.0,3.4,-1.4,-0.46,→ Round of 16 ,,,
pe Peru,3,1,0,2,2,2,0,3,2.3,3.8,-1.5,-0.51,,,,
au Australia,3,0,1,2,2,5,-3,1,3.3,2.4,+0.9,+0.30,,,,
hr Croatia,3,3,0,0,7,1,+6,9,4.1,4.0,+0.1,+0.04,→ Round of 16 ,,,
ar Argentina,3,1,1,1,3,5,-2,4,4.0,4.3,-0.3,-0.09,→ Round of 16 ,,,
ng Nigeria,3,1,0,2,3,4,-1,3,2.9,3.7,-0.8,-0.28,,,,
is Iceland,3,0,1,2,2,5,-3,1,4.4,3.4,+1.0,+0.33,,,,
br Brazil,3,2,1,0,5,1,+4,7,6.1,1.9,+4.2,+1.41,→ Round of 16 ,,,
ch Switzerland,3,1,2,0,5,4,+1,5,4.3,5.2,-0.8,-0.27,→ Round of 16 ,,,
rs Serbia,3,1,0,2,2,4,-2,3,3.2,4.4,-1.2,-0.40,,,,
cr Costa Rica,3,0,1,2,2,5,-3,1,2.6,4.8,-2.2,-0.74,,,,
se Sweden,3,2,0,1,5,2,+3,6,5.6,3.1,+2.6,+0.85,→ Round of 16 ,,,
mx Mexico,3,2,0,1,3,4,-1,6,4.6,4.7,-0.1,-0.02,→ Round of 16 ,,,
kr Korea Republic,3,1,0,2,3,3,0,3,2.8,6.9,-4.1,-1.38,,,,
de Germany,3,1,0,2,2,4,-2,3,5.5,3.9,+1.6,+0.55,,,,
be Belgium,3,3,0,0,9,2,+7,9,8.5,2.5,+5.9,+1.98,→ Round of 16 ,,,
eng England,3,2,0,1,8,3,+5,6,6.5,3.4,+3.1,+1.02,→ Round of 16 ,,,
tn Tunisia,3,1,0,2,5,8,-3,3,4.3,8.6,-4.3,-1.43,,,,
pa Panama,3,0,0,3,2,11,-9,0,2.2,6.9,-4.7,-1.56,,,,
co Colombia,3,2,0,1,5,2,+3,6,3.4,3.5,-0.2,-0.06,→ Round of 16 ,,,
jp Japan,3,1,1,1,4,4,0,4,3.6,3.9,-0.3,-0.11,→ Round of 16 ,,,
sn Senegal,3,1,1,1,4,4,0,4,3.0,2.1,+0.9,+0.31,,,,
pl Poland,3,1,0,2,2,5,-3,3,3.3,3.8,-0.4,-0.15,,,,
fr France,7,6,1,0,14,6,+8,19,8.0,3.6,+4.4,+0.63,"Antoine Griezmann, Kylian Mbappé - 4",,Hugo Lloris,
,,,,,,,,,,,,,,,,
hr Croatia,7,4,2,1,14,9,+5,14,9.0,6.4,+2.6,+0.37,"Ivan Perišić, Mario Mandžukić - 3",,Danijel Subašić,
,,,,,,,,,,,,,,,,
be Belgium,7,6,0,1,16,6,+10,18,11.8,6.5,+5.4,+0.77,Romelu Lukaku - 4,,Thibaut Courtois,
,,,,,,,,,,,,,,,,
eng England,7,3,1,3,12,8,+4,10,9.7,6.2,+3.5,+0.50,Harry Kane - 6,,Jordan Pickford,
,,,,,,,,,,,,,,,,
uy Uruguay,5,4,0,1,7,3,+4,12,5.9,1.7,+4.2,+0.84,Edinson Cavani - 3,,Fernando Muslera,
br Brazil,5,3,1,1,8,3,+5,10,9.8,2.4,+7.4,+1.48,"Philippe Coutinho, Neymar - 2",,Alisson,
se Sweden,5,3,0,2,6,4,+2,9,6.6,4.4,+2.2,+0.44,Andreas Granqvist - 2,,Robin Olsen,
ru Russia,5,2,2,1,11,7,+4,8,4.6,6.0,-1.4,-0.29,Denis Cheryshev - 4,,Igor Akinfeev,
,,,,,,,,,,,,,,,,
co Colombia,4,2,1,1,6,3,+3,7,3.8,4.9,-1.1,-0.28,Yerry Mina - 3,,David Ospina,
es Spain,4,1,3,0,7,6,+1,6,7.6,4.0,+3.6,+0.89,Diego Costa - 3,,David de Gea,
dk Denmark,4,1,3,0,3,2,+1,6,2.4,5.5,-3.1,-0.76,"Christian Eriksen, Mathias Jørgensen... - 1",,Kasper Schmeichel,
mx Mexico,4,2,0,2,3,6,-3,6,5.0,7.0,-1.9,-0.48,"Carlos Vela, Javier Hernández... - 1",,Guillermo Ochoa,
pt Portugal,4,1,2,1,6,6,0,5,4.5,4.0,+0.5,+0.13,Cristiano Ronaldo - 4,,Rui Patrício,
ch Switzerland,4,1,2,1,5,5,0,5,4.8,5.6,-0.8,-0.20,"Blerim Džemaili, Xherdan Shaqiri... - 1",,Yann Sommer,
jp Japan,4,1,1,2,6,7,-1,4,4.2,6.0,-1.8,-0.46,Takashi Inui - 2,,Eiji Kawashima,
ar Argentina,4,1,1,2,6,9,-3,4,4.8,6.3,-1.6,-0.40,Sergio Agüero - 2,,"Willy Caballero, Franco Armani",
,,,,,,,,,,,,,,,,
sn Senegal,3,1,1,1,4,4,0,4,3.0,2.1,+0.9,+0.31,"M'Baye Niang, Sadio Mané... - 1",,Khadim N'Diaye,
ir IR Iran,3,1,1,1,2,2,0,4,3.2,3.9,-0.7,-0.24,Karim Ansarifard - 1,,Alireza Beiranvand,
kr Korea Republic,3,1,0,2,3,3,0,3,2.8,6.9,-4.1,-1.38,Son Heung-min - 2,,Cho Hyun-woo,
pe Peru,3,1,0,2,2,2,0,3,2.3,3.8,-1.5,-0.51,"Paolo Guerrero, André Carrillo - 1",,Pedro Gallese,
ng Nigeria,3,1,0,2,3,4,-1,3,2.9,3.7,-0.8,-0.28,Ahmed Musa - 2,,Francis Uzoho,
de Germany,3,1,0,2,2,4,-2,3,5.5,3.9,+1.6,+0.55,"Marco Reus, Toni Kroos - 1",,Manuel Neuer,
rs Serbia,3,1,0,2,2,4,-2,3,3.2,4.4,-1.2,-0.40,"Aleksandar Kolarov, Aleksandar Mitrović - 1",,Vladimir Stojković,
tn Tunisia,3,1,0,2,5,8,-3,3,4.3,8.6,-4.3,-1.43,Wahbi Khazri - 2,,Farouk Ben Mustapha,
pl Poland,3,1,0,2,2,5,-3,3,3.3,3.8,-0.4,-0.15,"Grzegorz Krychowiak, Jan Bednarek - 1",,Wojciech Szczęsny,
sa Saudi Arabia,3,1,0,2,2,7,-5,3,3.1,4.2,-1.1,-0.35,"Salman Al-Faraj, Salem Al-Dawsari - 1",,"Mohammed Al-Owais, Abdullah Al-Mayouf...",
ma Morocco,3,0,1,2,2,4,-2,1,2.6,5.2,-2.5,-0.85,"Khalid Boutaïb, Youssef En-Nesyri - 1",,Munir,
au Australia,3,0,1,2,2,5,-3,1,3.3,2.4,+0.9,+0.30,Mile Jedinak - 2,,Mathew Ryan,
cr Costa Rica,3,0,1,2,2,5,-3,1,2.6,4.8,-2.2,-0.74,Kendall Waston - 1,,Keylor Navas,
is Iceland,3,0,1,2,2,5,-3,1,4.4,3.4,+1.0,+0.33,"Gylfi Sigurðsson, Alfreð Finnbogason - 1",,Hannes Þór Halldórsson,
eg Egypt,3,0,0,3,2,6,-4,0,2.5,5.3,-2.8,-0.93,Mohamed Salah - 2,,Mohamed El-Shenawy,
pa Panama,3,0,0,3,2,11,-9,0,2.2,6.9,-4.7,-1.56,Felipe Baloy - 1,,Jaime Penedo,
